Species	protein	log(e)2	% (measured)	% (corrected)	unique	total	Mr	upper	lower	1	2	3	4	5	6	7	8	9	10	11	light	heavy	Total
NA	sp|O61820|EIF3E_CAEEL	-100.7	28	45	10	34	50.7	NA	NA	4	8	6	10	NA	1	NA	4	NA	NA	1	NA	NA	34
NA	sp|O61856|HACL2_CAEEL	-236	47	64	22	73	69.2	1	NA	1	29	1	30	NA	3	NA	8	NA	NA	NA	NA	NA	73
NA	sp|O61866|LIPL5_CAEEL	-92	21	50	8	79	45.7	5	NA	13	7	9	7	6	2	7	4	5	7	NA	3	4	79
NA	sp|O61887|RNST2_CAEEL	-24.7	11	19	3	3	31.5	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3
NA	sp|O61955|IF4E3_CAEEL	-15.9	7.2	11	2	3	28.2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|O62053|ULE4_CAEEL	-53.9	52	100+	5	61	11.8	3	2	5	6	4	6	5	3	9	3	6	4	NA	1	4	61
NA	sp|O62106|IF6_CAEEL	-42.2	16	25	3	18	26.3	NA	NA	4	4	5	3	NA	NA	NA	1	NA	NA	NA	1	NA	18
NA	sp|O62146|PLBL2_CAEEL	-184.2	32	50	16	85	66.6	22	10	14	8	19	8	1	NA	NA	NA	NA	3	NA	NA	NA	85
NA	sp|O62246|COPE_CAEEL	-130.7	50	66	10	62	32.8	NA	NA	3	12	7	9	2	6	NA	9	NA	10	4	NA	NA	62
NA	sp|O62275|WAGO4_CAEEL	-16.9	2.5	3	2	2	106.4	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|O62305|KCC2D_CAEEL	-14.1	3.1	6	2	5	79.9	NA	NA	2	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|O62327|GPX2_CAEEL	-67	36	41	6	35	18.1	NA	2	6	2	6	NA	2	2	1	3	NA	2	1	5	3	35
NA	sp|O62415|LYS1_CAEEL	-190.7	55	87	14	191	32.4	4	33	13	10	13	10	17	7	15	10	16	15	6	7	15	191
NA	sp|O62416|LYS2_CAEEL	-87.7	29	74	7	50	30.3	NA	15	3	5	7	2	1	2	2	1	2	2	NA	3	5	50
NA	sp|O62431|SYQ_CAEEL	-230.9	30	39	22	57	88.2	NA	NA	1	20	1	19	NA	7	NA	7	NA	NA	1	1	NA	57
NA	sp|O76360|EGL4_CAEEL	-229.8	36	44	23	55	86.7	1	NA	8	7	11	6	2	3	NA	4	NA	1	NA	9	3	55
NA	sp|O76371|PRS6A_CAEEL	-167.8	43	53	15	52	48.1	NA	NA	4	11	5	16	1	7	1	5	1	NA	1	NA	NA	52
NA	sp|O76463|NFT1_CAEEL	-2.7	4.3	5	1	1	49.9	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O76577|PSDE_CAEEL	-101.5	42	100+	9	37	34.6	NA	NA	7	6	4	7	1	1	NA	2	1	2	1	5	NA	37
NA	sp|O76584|GPA11_CAEEL	-2.2	3.3	5	1	1	42.2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O76840|PPN1_CAEEL	-234.4	11	18	23	56	237.4	NA	NA	20	NA	24	NA	2	NA	6	NA	NA	4	NA	NA	NA	56
NA	sp|O77081|TPSTA_CAEEL	-47.5	12	15	5	10	43.3	NA	NA	5	NA	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	10
NA	sp|P02566|MYO4_CAEEL	-1020.1	45	64	83	350	224.6	NA	NA	72	33	76	38	7	51	7	46	1	8	10	1	NA	350
NA	sp|P04970|G3P1_CAEEL	-337.1	50	73	18	147	36.4	NA	NA	25	5	30	8	20	1	19	1	10	24	NA	4	NA	147
NA	sp|P05634|MSP10_CAEEL	-112.3	12	14	1	3	14.2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3
NA	sp|P05690|VIT2_CAEEL	-2167.6	74	95	161	2406	187.6	28	4	326	250	314	248	152	188	147	221	96	204	111	47	70	2406
NA	sp|P06125|VIT5_CAEEL	-2080	71	91	156	2215	186.3	46	4	220	329	235	294	101	216	104	233	79	137	119	36	62	2215
NA	sp|P09446|HSP1_CAEEL	-708.8	71	100	54	679	69.7	47	3	90	50	95	44	43	30	43	38	33	53	19	43	48	679
NA	sp|P09588|H2A_CAEEL	-157.3	35	76	13	54	13.4	NA	1	1	3	1	1	NA	18	2	1	8	NA	1	3	14	54
NA	sp|P0DM41|ACT1_CAEEL	-852.8	78	89	67	779	41.8	83	50	61	40	67	35	27	24	37	27	176	37	19	48	48	779
NA	sp|P10299|GSTP1_CAEEL	-87.9	33	44	8	30	23.9	NA	NA	12	NA	6	NA	3	NA	2	NA	1	1	NA	4	1	30
NA	sp|P10567|MYSP_CAEEL	-160.9	18	24	16	36	100.6	NA	NA	11	8	11	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	36
NA	sp|P10771|H24_CAEEL	-18.3	12	20	2	9	21.4	NA	NA	NA	2	1	1	NA	2	NA	NA	NA	NA	NA	NA	3	9
NA	sp|P10984|ACT2_CAEEL	-845.7	12	14	3	32	41.8	6	NA	8	1	6	3	NA	NA	2	NA	NA	2	1	2	1	32
NA	sp|P10986|ACT4_CAEEL	-850.5	7.2	8	1	1	41.8	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P11141|HSP6_CAEEL	-71.2	12	18	7	22	70.8	NA	NA	5	3	2	4	1	1	1	2	2	1	NA	NA	NA	22
NA	sp|P12456|TBB1_CAEEL	-203.5	2.5	4	1	4	49.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	4
NA	sp|P12845|MYO2_CAEEL	-95.9	1	1	2	4	222.9	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|P17140|CO4A2_CAEEL	-19.1	1.6	2	3	3	167.6	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|P17329|G3P2_CAEEL	-377.7	3.2	5	1	33	36.4	NA	NA	9	1	7	1	5	NA	4	NA	2	4	NA	NA	NA	33
NA	sp|P17330|G3P3_CAEEL	-378.8	57	84	22	446	36.4	8	9	95	25	99	20	42	3	41	8	29	54	2	7	4	446
NA	sp|P17331|G3P4_CAEEL	-324.1	7.6	11	2	8	36.4	NA	NA	2	NA	3	NA	NA	NA	1	NA	1	1	NA	NA	NA	8
NA	sp|P17343|GBB1_CAEEL	-150.5	37	58	12	96	37.4	6	8	13	9	10	10	5	1	4	4	2	7	NA	12	5	96
NA	sp|P18334|CSK2A_CAEEL	-92.3	29	39	9	30	42.2	NA	NA	5	5	4	10	NA	2	NA	1	NA	2	NA	NA	1	30
NA	sp|P18833|COL8_CAEEL	-8.7	5.7	8	1	1	28.1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P18835|COL19_CAEEL	-4	2.8	3	1	3	28.4	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|P18947|VIT4_CAEEL	-2071.7	25	32	37	402	186.2	5	NA	47	63	40	52	15	39	14	43	12	28	26	8	10	402
NA	sp|P18948|VIT6_CAEEL	-2468.7	74	97	178	3400	193.2	133	19	243	563	252	550	135	392	121	355	90	172	204	83	88	3400
NA	sp|P19625|MLR1_CAEEL	-42.1	28	40	4	13	18.6	NA	NA	3	2	4	3	NA	NA	NA	1	NA	NA	NA	NA	NA	13
NA	sp|P19826|VINC_CAEEL	-11.9	1.7	2	2	2	120.7	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2
NA	sp|P19974|CYC21_CAEEL	-27.8	30	37	3	4	12.2	NA	NA	1	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|P20163|BIBH_CAEEL	-456	39	57	23	106	72.2	19	NA	6	25	7	25	NA	8	NA	13	NA	NA	2	1	NA	106
NA	sp|P21137|KAPC1_CAEEL	-13.3	5.4	8	2	2	46.3	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P22981|LET60_CAEEL	-102.1	55	78	10	54	21	NA	12	3	7	4	7	1	3	NA	3	NA	3	1	9	1	54
NA	sp|P24894|COX2_CAEEL	-5.9	4.3	12	1	6	26.5	NA	NA	NA	2	NA	2	NA	1	NA	1	NA	NA	NA	NA	NA	6
NA	sp|P25807|CPR1_CAEEL	-448.8	74	100	39	286	35.4	6	15	27	26	31	24	12	14	15	14	7	19	6	45	25	286
NA	sp|P27420|HSP7C_CAEEL	-594.2	59	87	41	301	73	71	NA	21	50	23	50	6	16	4	25	5	10	8	7	5	301
NA	sp|P27604|SAHH_CAEEL	-449.5	70	94	34	419	47.5	21	2	65	28	67	27	29	27	32	26	15	34	17	20	9	419
NA	sp|P27639|IF4A_CAEEL	-230.9	49	69	20	129	45.4	3	NA	18	10	18	8	6	8	9	7	7	14	3	14	4	129
NA	sp|P27715|UNC13_CAEEL	-5.2	0.5	1	1	1	245.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|P27798|CALR_CAEEL	-399.4	71	92	32	219	45.6	44	NA	23	28	29	36	15	9	4	8	1	17	2	1	2	219
NA	sp|P28548|CSK2B_CAEEL	-17.8	8.1	15	3	5	26.4	NA	NA	1	1	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	5
NA	sp|P29355|SEM5_CAEEL	-33.1	20	22	3	6	26.2	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	1	6
NA	sp|P29691|EF2_CAEEL	-766	61	83	60	574	94.7	17	1	78	45	83	50	32	41	42	42	27	47	21	28	20	574
NA	sp|P30625|KAPR_CAEEL	-167	55	68	15	67	41.4	12	NA	9	3	13	4	3	NA	NA	2	NA	5	1	7	8	67
NA	sp|P30627|GLBH_CAEEL	-13.9	12	22	2	5	18.5	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|P30628|VPP1_CAEEL	-258.6	30	48	21	89	103.3	NA	1	16	20	8	10	NA	8	NA	10	NA	2	2	5	7	89
NA	sp|P30632|ASNA_CAEEL	-43.9	15	24	5	15	37.5	NA	NA	3	NA	4	NA	2	NA	3	NA	1	2	NA	NA	NA	15
NA	sp|P30639|LNKN1_CAEEL	-84.3	15	24	8	32	67.5	2	NA	3	5	7	3	NA	2	NA	1	NA	2	NA	4	3	32
NA	sp|P30642|EIF3D_CAEEL	-84.6	15	27	8	16	64.2	NA	NA	2	3	1	6	1	1	NA	2	NA	NA	NA	NA	NA	16
NA	sp|P31161|SODM1_CAEEL	-17.8	8.6	11	2	4	24.5	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	4
NA	sp|P32740|NNRD_CAEEL	-17.2	7.2	9	2	3	33.9	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|P32744|CLAS2_CAEEL	-4.1	1.2	2	1	1	112.2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34183|SYH_CAEEL	-123.2	28	35	12	45	58.5	NA	NA	5	6	6	11	3	2	1	4	1	3	NA	3	NA	45
NA	sp|P34213|RAB6A_CAEEL	-178.7	58	65	13	97	23.2	NA	15	6	5	13	11	4	5	2	8	2	4	4	12	6	97
NA	sp|P34255|ECHH_CAEEL	-2.5	2.2	4	1	1	47.8	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34280|YKK3_CAEEL	-2.1	4.4	6	1	1	40.8	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34285|TSP1_CAEEL	-79.8	20	100+	6	53	27.4	1	3	1	6	4	7	3	3	2	4	NA	2	2	6	9	53
NA	sp|P34286|PSB1_CAEEL	-81.5	40	67	7	30	28.9	NA	NA	NA	7	NA	7	NA	4	NA	6	NA	3	3	NA	NA	30
NA	sp|P34298|DOXA1_CAEEL	-146.4	35	100+	11	51	43.8	NA	NA	2	9	5	4	NA	6	NA	7	NA	1	6	2	9	51
NA	sp|P34308|CAN_CAEEL	-50	9.1	14	5	13	83.6	NA	NA	2	3	4	1	NA	1	1	NA	NA	1	NA	NA	NA	13
NA	sp|P34329|PDIA4_CAEEL	-17.2	3.4	5	2	4	69.8	NA	NA	NA	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|P34334|RL21_CAEEL	-113.2	47	79	9	91	18.3	NA	6	8	14	8	15	3	9	4	5	2	9	2	3	3	91
NA	sp|P34339|EIF3A_CAEEL	-359.2	32	42	32	110	124.3	1	NA	5	32	2	35	NA	14	NA	18	NA	2	1	NA	NA	110
NA	sp|P34340|COL90_CAEEL	-23.2	7.5	12	3	19	30.6	NA	NA	2	NA	2	NA	3	2	2	3	1	3	1	NA	NA	19
NA	sp|P34342|RGP2_CAEEL	-39.1	5	8	5	8	105.6	NA	NA	3	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	8
NA	sp|P34345|GSTO1_CAEEL	-4.6	3.6	6	1	1	28.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34346|KAD2_CAEEL	-2.7	5.2	6	1	1	27.9	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34358|CED7_CAEEL	-35.3	2.5	5	4	4	191.3	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	4
NA	sp|P34364|YLH0_CAEEL	-26.5	20	31	2	5	21.2	NA	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|P34369|PRP8_CAEEL	-50	2.6	4	5	9	271.9	NA	NA	NA	2	NA	3	NA	1	NA	3	NA	NA	NA	NA	NA	9
NA	sp|P34382|FAR1_CAEEL	-213.6	62	100+	20	89	20.1	NA	NA	24	8	14	3	10	2	9	3	6	8	NA	1	1	89
NA	sp|P34383|FAR2_CAEEL	-233.5	66	100+	20	159	20	NA	5	30	12	22	9	14	8	16	7	13	17	NA	4	2	159
NA	sp|P34385|MCCB_CAEEL	-30.3	8.1	13	4	10	66.5	NA	NA	2	4	1	2	NA	NA	NA	NA	NA	1	NA	NA	NA	10
NA	sp|P34392|YLS7_CAEEL	-3.1	15	26	1	2	11.5	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34393|CL160_CAEEL	-2.4	0.9	1	1	1	71.4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34441|EMB30_CAEEL	-2.4	1	1	1	1	117	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34445|YL87_CAEEL	-14.5	8.5	14	2	2	33.9	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34446|PAT2_CAEEL	-15	1.7	2	2	3	135.9	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|P34455|ACON_CAEEL	-208.5	31	59	18	85	84	NA	NA	17	9	14	7	4	3	8	7	3	6	2	5	NA	85
NA	sp|P34457|YMD3_CAEEL	-5.7	5.6	11	1	4	32.1	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4
NA	sp|P34462|VATD_CAEEL	-182.1	61	82	15	139	28.8	2	17	8	14	14	14	5	13	3	13	NA	5	6	4	21	139
NA	sp|P34465|CY561_CAEEL	-4.7	4.1	9	1	5	30.5	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	5
NA	sp|P34466|CLU_CAEEL	-256.8	23	32	25	68	139.8	NA	NA	14	15	14	17	NA	1	1	6	NA	NA	NA	NA	NA	68
NA	sp|P34475|TBG_CAEEL	-14	4.3	7	2	2	49.9	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34479|SKAT1_CAEEL	-38.5	8.3	17	4	14	51.3	NA	NA	1	2	1	1	NA	1	NA	2	NA	1	NA	3	2	14
NA	sp|P34480|NAGA_CAEEL	-6.9	2.6	5	1	2	44.9	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34481|PS11B_CAEEL	-2.1	1.9	3	1	1	46.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1
NA	sp|P34487|YMJB_CAEEL	-316.6	31	57	23	172	96.5	NA	NA	16	17	17	15	16	18	4	25	3	17	7	11	6	172
NA	sp|P34496|MTSS1_CAEEL	-6.8	6.5	7	1	1	19.2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34499|TTR3_CAEEL	-27.5	16	22	2	5	16	NA	NA	1	NA	2	NA	NA	NA	NA	1	NA	NA	NA	1	NA	5
NA	sp|P34500|TTR2_CAEEL	-205	66	89	15	189	15.7	2	23	17	13	16	12	14	12	13	13	13	11	8	12	10	189
NA	sp|P34508|CRN6_CAEEL	-186.3	42	90	15	104	43.3	15	NA	2	9	4	12	2	6	2	13	2	4	5	6	22	104
NA	sp|P34516|YMX8_CAEEL	-2.3	3.2	4	1	1	39.4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34517|GPDH2_CAEEL	-88.2	24	28	10	33	42.8	NA	NA	8	4	10	5	2	NA	1	1	NA	2	NA	NA	NA	33
NA	sp|P34525|SPCS3_CAEEL	-81.6	51	84	7	40	20.7	NA	7	2	7	2	7	NA	5	NA	6	NA	NA	3	1	NA	40
NA	sp|P34526|YM65_CAEEL	-2.9	18	21	1	2	11.5	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34528|YM67_CAEEL	-282.7	43	78	20	284	56.5	28	NA	30	23	36	17	24	8	23	17	22	22	5	12	17	284
NA	sp|P34530|YM91_CAEEL	-32.7	9.7	21	3	7	27.1	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	2	2	7
NA	sp|P34540|KINH_CAEEL	-201.7	28	46	19	41	91.8	NA	NA	6	8	5	5	1	1	1	3	NA	1	NA	6	4	41
NA	sp|P34552|ALXA_CAEEL	-805.3	73	100+	59	531	98.2	33	NA	35	33	41	31	45	35	43	38	27	47	13	45	65	531
NA	sp|P34556|CDK1_CAEEL	-37.4	14	17	4	17	38.3	NA	NA	1	1	1	NA	1	NA	3	2	3	3	NA	2	NA	17
NA	sp|P34558|YNP5_CAEEL	-2.7	4.6	6	1	2	27.4	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34559|ECHM_CAEEL	-99.6	35	45	8	56	31.2	NA	NA	9	5	10	6	4	2	6	2	4	6	NA	2	NA	56
NA	sp|P34560|RMD1_CAEEL	-59.1	27	38	5	25	25.9	NA	NA	2	2	2	2	2	4	1	4	NA	2	2	1	1	25
NA	sp|P34561|VPS53_CAEEL	-23.4	3.5	6	2	2	89.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
NA	sp|P34563|IF5A1_CAEEL	-62.1	45	55	6	32	17.9	NA	NA	5	4	3	6	1	3	1	5	NA	1	NA	3	NA	32
NA	sp|P34568|BAT43_CAEEL	-2.2	1.3	2	1	1	51	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34574|CLH_CAEEL	-799.4	46	60	63	377	191.4	2	NA	32	55	33	63	19	29	14	44	15	17	14	21	19	377
NA	sp|P34575|CISY_CAEEL	-172.3	35	66	15	80	51.5	NA	NA	16	3	18	6	8	NA	8	2	9	10	NA	NA	NA	80
NA	sp|P34604|EI2BA_CAEEL	-11.2	5.9	8	2	2	34.1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2
NA	sp|P34605|TPPC3_CAEEL	-6.2	7.7	11	1	3	19.7	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3
NA	sp|P34610|PCP1_CAEEL	-343.6	39	88	26	340	62.8	45	NA	13	42	19	36	11	32	7	34	2	12	16	22	49	340
NA	sp|P34611|NCL1_CAEEL	-2.3	0.9	2	1	1	91.9	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34629|AMPL_CAEEL	-257.7	60	77	21	148	52.4	NA	NA	21	24	22	22	11	4	13	8	3	16	2	2	NA	148
NA	sp|P34631|UBXN4_CAEEL	-6.7	2.6	7	1	2	51.6	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P34643|SC161_CAEEL	-2.9	0.4	1	1	1	134.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	sp|P34647|MCM6_CAEEL	-15.7	2.2	3	2	5	91.1	NA	NA	1	NA	1	NA	NA	1	NA	2	NA	NA	NA	NA	NA	5
NA	sp|P34650|MPI_CAEEL	-39.7	12	17	4	6	46.4	NA	NA	3	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	6
NA	sp|P34652|CALX_CAEEL	-127.8	25	59	13	42	69.2	NA	NA	2	11	1	13	NA	5	NA	6	NA	NA	3	NA	1	42
NA	sp|P34655|YOT0_CAEEL	-4.3	30	96	1	11	8.7	NA	2	1	2	1	3	NA	NA	NA	NA	NA	NA	NA	1	1	11
NA	sp|P34657|YOTB_CAEEL	-18	8.6	12	2	2	30.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2
NA	sp|P34659|RUXF_CAEEL	-7	20	28	1	1	9.2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P34662|RL35_CAEEL	-82.4	37	92	9	63	14.2	NA	4	4	11	4	9	1	7	2	7	2	4	3	2	3	63
NA	sp|P34669|OST3_CAEEL	-72.5	16	40	6	36	38.8	NA	5	2	9	1	7	NA	4	NA	5	NA	NA	3	NA	NA	36
NA	sp|P34676|PCP5_CAEEL	-56.8	12	22	6	16	56.9	4	NA	3	2	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	16
NA	sp|P34678|GALT3_CAEEL	-59.1	14	17	6	18	68.9	NA	NA	3	6	3	1	NA	1	NA	3	NA	NA	NA	NA	1	18
NA	sp|P34685|CAPZA_CAEEL	-69.1	36	50	7	18	32.2	NA	2	3	1	3	NA	NA	NA	1	1	NA	1	NA	5	1	18
NA	sp|P34686|CAPZB_CAEEL	-46.1	22	30	5	17	30.8	NA	1	4	2	3	1	NA	NA	NA	1	NA	1	NA	2	2	17
NA	sp|P34689|GLH1_CAEEL	-33	7.9	12	4	7	79.7	NA	NA	NA	1	2	3	NA	NA	NA	1	NA	NA	NA	NA	NA	7
NA	sp|P34690|TBA2_CAEEL	-328.8	57	100+	25	277	49.9	5	NA	44	18	40	20	18	13	20	15	19	24	6	26	9	277
NA	sp|P34697|SODC_CAEEL	-16.3	19	21	2	4	18.7	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|P34712|PGP1_CAEEL	-751.8	49	97	57	334	145	NA	NA	NA	40	2	50	NA	62	NA	74	NA	3	23	12	68	334
NA	sp|P34713|PGP3_CAEEL	-204.4	18	30	16	53	140.2	NA	NA	NA	12	NA	10	NA	12	NA	13	NA	NA	1	1	4	53
NA	sp|P34815|UNC18_CAEEL	-308.9	35	46	26	148	76.7	8	NA	15	13	16	14	3	12	3	15	1	5	6	18	19	148
NA	sp|P35129|UBC2_CAEEL	-4.5	6.8	19	1	9	16.7	NA	2	1	1	1	1	NA	1	NA	1	NA	1	NA	NA	NA	9
NA	sp|P35603|AP2M_CAEEL	-12.8	3.9	5	2	2	50.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2
NA	sp|P36573|LEC1_CAEEL	-499.6	85	100+	38	631	31.8	29	95	56	28	61	37	21	26	30	33	19	39	15	68	74	631
NA	sp|P36609|NCS2_CAEEL	-104.9	59	100+	9	63	22	NA	NA	9	7	12	3	2	6	NA	4	NA	5	NA	8	7	63
NA	sp|P37165|RS27A_CAEEL	-32.3	22	32	2	34	18.1	NA	NA	4	8	6	6	NA	5	NA	3	NA	NA	2	NA	NA	34
NA	sp|P38433|ACE1_CAEEL	-2.7	1.6	2	1	1	71.4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P39055|DYN1_CAEEL	-225.6	29	43	23	69	93.3	4	NA	10	9	14	5	1	2	2	4	NA	1	2	9	6	69
NA	sp|P39745|MPK1_CAEEL	-11.9	4.1	6	1	1	50.6	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|P40614|MPCP_CAEEL	-174.8	46	55	16	87	36.6	NA	1	4	16	1	19	NA	14	NA	18	NA	1	8	4	1	87
NA	sp|P41847|DRE2_CAEEL	-14.5	7.6	10	2	3	25.5	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|P41879|YPT1_CAEEL	-33.1	7.7	13	3	7	54.7	NA	NA	NA	4	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
NA	sp|P41882|YPT4_CAEEL	-13.8	2.1	3	2	2	132.3	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P41932|14331_CAEEL	-322.7	38	56	12	131	28.2	NA	12	18	9	11	9	6	7	8	7	7	11	8	12	6	131
NA	sp|P41937|TBB4_CAEEL	-311.7	27	40	9	32	49.8	3	NA	NA	4	2	1	1	1	NA	1	4	1	NA	7	7	32
NA	sp|P41938|HCDH2_CAEEL	-3.5	2.6	4	1	2	33.4	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P41956|C560_CAEEL	-3.3	4.9	7	1	2	20	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2
NA	sp|P41988|TCPA_CAEEL	-323.9	55	70	28	169	58.8	3	NA	18	20	23	25	7	16	11	18	4	10	8	6	NA	169
NA	sp|P41992|GGTB2_CAEEL	-3.5	3	4	1	2	37.2	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|P41994|RPIA_CAEEL	-9	6.4	9	1	5	27.2	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	1	NA	NA	NA	5
NA	sp|P41996|CPG2_CAEEL	-94	18	66	7	57	53.6	17	NA	3	7	4	5	2	3	2	2	1	2	1	NA	8	57
NA	sp|P42168|KC1A_CAEEL	-109.7	33	55	11	39	39	NA	NA	3	9	5	5	NA	5	NA	7	NA	NA	NA	NA	5	39
NA	sp|P42170|RIR2_CAEEL	-30.3	10	15	3	5	44.3	NA	NA	2	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	5
